,0,1,2,3,4,5,6
137,瓦 ダイニング kawara CAFE&DINING 渋谷文化村通り店,東京都渋谷区宇田川町２８－３いちご渋谷文化村通りビル７Ｆ,139.6981753556,35.6602663595,50,居酒屋,営業していない
138,ベンベヌータ Benvenuta,東京都世田谷区太子堂５－１６－９,139.6685066921,35.6482335895,120,居酒屋,営業している
139,肉バル ビーフ三田 SANDA 浜松町・大門店,東京都港区浜松町２-１-２０ＳＡＶＡＸ大門ビル９F,139.7549454073,35.6564791353,180,居酒屋,営業している
140,地鶏と地酒 とっとり,東京都新宿区歌舞伎町１-6-3 東海苑ビル7階,139.702547538,35.6935507835,100,居酒屋,営業している
141,かんかん商店 新宿東口本店,東京都新宿区歌舞伎町１‐１６‐５ドンキホーテ東口本店ビル６階,139.7016845452,35.6938173971,156,居酒屋,営業している
142,土間土間 渋谷店 旧ハチ公口店,東京都渋谷区神南１－２２－１０－皆川ビルＢ１Ｆ,139.701016733,35.6614607453,88,居酒屋,営業している
143,咲蔵 新橋,東京都港区新橋２-１５-９Ｓ-ＰＬＡＺＡ弥生ビル7Ｆ,139.7566679247,35.6662447489,120,居酒屋,営業している
144,Party Space ACE エース 新宿東口店,東京都新宿区歌舞伎町２-45-4 与三郎ビル3階,139.7004764829,35.6965428912,400,カラオケ・パーティ,営業している
145,ミートテーブル Meat Table 新宿東口店,東京都新宿区歌舞伎町１-16-12 3F,139.7023814296,35.6938365802,150,居酒屋,営業している
146,完全個室居酒屋 お通 八重洲店,東京都中央区八重洲１-7-10 今井ビル6F,139.7707925301,35.68078349,70,和食,営業している
147,土間土間 新宿歌舞伎町店,東京都新宿区歌舞伎町１－２５－３西武新宿駅前ビル６Ｆ,139.7005848844,35.6946153334,84,居酒屋,営業している
148,シロッコ SCIROCCO コレド日本橋,東京都中央区日本橋１－４－１コレド日本橋４Ｆ,139.7746290791,35.6825158976,136,イタリアン・フレンチ,営業していない
149,名古屋コーチン専門個室居酒屋 吉乃 新橋店,東京都港区新橋２-16-12Ｆ,139.7576508754,35.6667758265,160,居酒屋,営業している
150,博多前炉ばた 一承 東京上野,東京都台東区上野７-2-4ＦＵＮＤＥＳ上野８Ｆ,139.7774729043,35.7126220284,96,居酒屋,営業している
151,紅虎餃子房 丸の内センタービル店,東京都千代田区丸の内１－６－１丸の内センタービルＢ１,139.7659991936,35.6840793796,180,居酒屋,営業していない
152,肉バル バンケット 銀座店,東京都中央区銀座２-8-12 ユニデン銀座ビル 8F,139.7676034099,35.6725387772,120,イタリアン・フレンチ,営業している
153,和牛塩焼肉 ブラックホール 新宿三丁目店,東京都新宿区新宿３-5-3 高山ランド会館8F,139.7053596173,35.6911575171,70,焼肉・ホルモン,営業していない
154,三代目鳥メロ 銀座土橋店,東京都港区新橋１-3-101F,139.7582199302,35.6683587191,196,居酒屋,営業している
155,肉バル アンタガタドコサ 池袋店,東京都豊島区西池袋１-37-16大雄ビル5F,139.7093131951,35.732014131,50,ダイニングバー・バル,営業していない
156,かまどか 八王子店,東京都八王子市三崎町５－１９エフ・ワンフォーラム３階,139.3364340414,35.6576181613,89,居酒屋,営業している
157,和の礎 神ノ木,東京都町田市原町田６-１０-１０４F,139.4467788831,35.5435011612,46,居酒屋,営業している
158,居酒屋 万屋,東京都千代田区内神田２－１２－５翔和No8神田ビルB1,139.7674329475,35.6913199917,32,居酒屋,営業している
159,やきとり山長 立川店,東京都立川市柴崎町２－２－９,139.4114149662,35.6970434758,200,居酒屋,営業している
160,宮崎地鶏 居酒屋 九州道場 蒲田店,東京都大田区西蒲田７-6-1 升本ビル5階,139.7146133646,35.5639912411,100,居酒屋,営業していない
161,北海道 中野坂上駅前店,東京都中野区本町２－４６－４サンブライトアネックスビル３Ｆ,139.6814216994,35.696907619,172,和食,営業している
162,旅情個室 寄右衛門 よりえもん 新宿店,東京都新宿区歌舞伎町１-17-13TIビル6F,139.7014015073,35.6939765383,140,居酒屋,営業している
163,ウメ子の家 品川駅前店,東京都港区港南２－６－９DK品川ビル２Ｆ（ビッグエコービル2Ｆ）,139.7423828677,35.628641099,135,居酒屋,営業している
164,やきとんうまか市場 まるし 木場店,東京都江東区木場５-5-14 銀寿司ビル,139.8061663634,35.6696431905,75,居酒屋,営業している
165,越後屋 甚内,東京都港区東新橋１-8-2カレッタ汐留B2,139.7624447067,35.6649897668,54,居酒屋,営業していない
166,十焼十鍋 飯田橋西口店,東京都千代田区富士見２－２－１２キッズビルB１・１F,139.7456391937,35.6994659914,70,和食,営業していない
167,6 Connection Dining,東京都新宿区西新宿１－１９－１１西新宿甲州ビル ４Ｆ,139.6967168568,35.6882687227,28,ダイニングバー・バル,営業している
168,SAKURA Dining 渋谷,東京都渋谷区宇田川町12-9JouLeSHIBUYA9階,139.698111701,35.6614856649,140,居酒屋,営業している
169,太陽の娘 FAVETTA,東京都新宿区歌舞伎町１‐２３‐１４第１メトロビル１階,139.7010162563,35.6941237337,74,イタリアン・フレンチ,営業している
170,ミートハウス Meat House,東京都新宿区歌舞伎町１－２３－１３－３Ｆ,139.7010048632,35.6942542742,60,居酒屋,営業している
171,魚串さくらさく 西武新宿駅前店,東京都新宿区歌舞伎町１-28-21F,139.7003326535,35.6953652422,45,居酒屋,営業している
172,焼肉 福々 FUKUFUKU 銀座本店,東京都中央区銀座８－１０－７東成ビルB1F,139.7620674092,35.6676619559,31,居酒屋,営業していない
173,水面月 MINAMOTSUKI 北千住店,東京都足立区千住３－７７きたテラス６階,139.8038533048,35.7504531965,200,居酒屋,営業している
174,内神田 ながい,東京都千代田区内神田２‐13-8,139.7683025878,35.6915188815,35,居酒屋,営業していない
175,一瑳 ISSA アクアシティお台場店,東京都港区台場１－７－１アクアシティお台場６Ｆ,139.7735813635,35.627819247,120,ダイニングバー・バル,営業していない
176,土風炉 とふろ 銀座一丁目店,東京都中央区銀座１－１０－６銀座ファーストビルＢ２Ｆ,139.768777166,35.6733639935,420,居酒屋,営業している
177,にくの匠 新宿東口店,東京都新宿区新宿３－１９－４-７F,139.7026353404,35.6927517092,200,居酒屋,営業している
178,さかえ屋 上野店,東京都台東区上野４-5-5 3F,139.7735361632,35.7089784444,160,居酒屋,営業している
179,隠れ房 御庭,東京都新宿区新宿３－３７－１２ＮＯＷＡビル７Ｆ,139.7013405451,35.6903936069,181,和食,営業していない
180,チーズスクエア CHEESE SQUARE 吉祥寺店,東京都武蔵野市吉祥寺本町１-8-10第85東京ビル4F,139.5784454185,35.7049031386,90,居酒屋,営業していない
